h,?,j,j,j,?,i,j,j,i
f,j,j,?,i,j,i,j,j,i
?,j,j,j,i,j,?,j,j,?
j,j,h,j,?,j,j,j,j,i
h,j,?,j,j,j,i,j,j,i
i,j,j,?,i,j,h,j,j,i
a,d,d,?,c,f,d,g,h,g
i,j,j,?,i,j,h,j,j,i
h,?,i,j,i,j,i,j,j,i
i,?,j,j,i,j,i,j,j,i
a,a,a,c,e,?,c,b,j,g
e,i,j,j,j,j,?,j,j,i
f,g,?,b,i,a,f,e,j,?
i,f,h,h,e,d,d,?,j,g
a,g,?,j,h,h,e,f,i,g
e,a,?,i,c,a,d,h,h,g
i,j,?,i,i,j,j,j,j,i
f,j,j,j,i,?,h,j,j,i
b,e,b,i,?,e,i,b,a,?
d,f,e,a,f,a,d,?,g,g
a,h,f,?,a,f,h,a,i,g
i,h,g,?,i,f,i,f,j,g
g,j,?,j,i,j,h,j,j,i
c,?,h,j,e,h,d,j,j,g
a,a,a,a,a,?,c,c,?,g
d,h,?,g,h,h,h,i,d,?
a,?,a,c,i,a,g,j,j,g
j,e,?,a,c,?,f,d,j,g
j,j,j,j,i,j,i,j,?,i
j,j,?,j,i,j,h,j,j,i
a,f,?,?,h,d,h,h,?,g
h,j,j,j,i,j,h,j,?,i
i,?,j,i,i,j,h,j,j,i
j,g,?,a,g,a,f,e,j,?
a,g,e,?,i,a,?,h,j,g
d,g,f,?,i,a,h,c,i,?
c,?,a,a,?,a,a,d,h,g
a,a,a,?,a,?,g,a,a,g
?,j,?,j,?,j,i,j,j,?
?,?,?,?,?,?,?,?,?,?
